"Time","temperatura ESP32"
2024-05-23 17:48:03,24.9
2024-05-23 17:48:09,24.9
2024-05-23 17:48:15,24.9
2024-05-23 17:48:20,24.9
2024-05-23 17:48:26,24.9
2024-05-23 17:48:32,24.9
2024-05-23 17:48:37,24.9
2024-05-23 17:48:43,24.9
2024-05-23 17:48:48,24.9
2024-05-23 17:48:54,24.9
2024-05-23 17:49:00,24.9
2024-05-23 17:49:05,24.9
2024-05-23 17:49:11,24.9
2024-05-23 17:49:17,24.9
2024-05-23 17:49:22,24.9
2024-05-23 17:49:28,24.9
2024-05-23 17:49:34,24.9
2024-05-23 17:49:39,24.9
2024-05-23 17:49:45,24.9
2024-05-23 17:49:50,24.9
2024-05-23 17:49:56,24.9
2024-05-23 17:50:02,24.9
2024-05-23 17:50:07,24.9
2024-05-23 17:50:15,24.9
2024-05-23 17:50:20,24.9
2024-05-23 17:50:26,24.9
2024-05-23 17:50:32,24.9
2024-05-23 17:50:37,24.9
2024-05-23 17:50:43,24.9
2024-05-23 17:50:48,24.9
2024-05-23 17:50:54,24.9
2024-05-23 17:51:00,24.9
2024-05-23 17:51:05,24.9
2024-05-23 17:51:11,24.9
2024-05-23 17:51:17,24.9
2024-05-23 17:51:22,24.9
2024-05-23 17:51:28,24.9
2024-05-23 17:51:34,24.9
2024-05-23 17:51:39,24.9
2024-05-23 17:51:45,24.9
2024-05-23 17:51:51,24.9
2024-05-23 17:51:56,24.9
2024-05-23 17:52:02,24.9
2024-05-23 17:52:08,24.9
2024-05-23 17:52:13,24.9
2024-05-23 17:52:20,24.9
2024-05-23 17:52:26,24.9
2024-05-23 17:52:32,24.9
2024-05-23 17:52:37,24.9
2024-05-23 17:52:43,24.9
2024-05-23 17:52:49,24.9
2024-05-23 17:52:54,24.9
2024-05-23 17:53:00,24.9
2024-05-23 17:53:05,24.9
2024-05-23 17:53:11,24.9
2024-05-23 17:53:17,24.9
2024-05-23 17:53:22,24.9
2024-05-23 17:53:28,24.9
2024-05-23 17:53:34,24.9
2024-05-23 17:53:39,24.9
2024-05-23 17:53:45,24.9
2024-05-23 17:53:51,24.9
2024-05-23 17:53:56,24.9
2024-05-23 17:54:02,24.9
2024-05-23 17:54:07,24.9
2024-05-23 17:54:13,24.9
2024-05-23 17:54:19,24.9
2024-05-23 17:54:26,24.9
2024-05-23 17:54:32,24.9
2024-05-23 17:54:37,24.9
2024-05-23 17:54:43,24.9
2024-05-23 17:54:49,24.9
2024-05-23 17:54:54,24.9
2024-05-23 17:55:00,24.9
2024-05-23 17:55:05,24.9
2024-05-23 17:55:11,24.9
2024-05-23 17:55:17,24.9
2024-05-23 17:55:22,24.9
2024-05-23 17:55:28,24.9
2024-05-23 17:55:33,24.9
2024-05-23 17:55:39,24.9
2024-05-23 17:55:45,24.9
2024-05-23 17:55:50,24.9
2024-05-23 17:55:56,24.9
2024-05-23 17:56:04,24.9
2024-05-23 17:56:10,24.9
2024-05-23 17:56:15,24.9
2024-05-23 17:56:21,24.9
2024-05-23 17:56:27,24.9
2024-05-23 17:56:32,24.9
2024-05-23 17:56:38,24.9
2024-05-23 17:56:44,24.9
2024-05-23 17:56:49,24.9
2024-05-23 17:56:55,24.9
2024-05-23 17:57:01,24.9
2024-05-23 17:57:06,24.9
2024-05-23 17:57:12,24.9
2024-05-23 17:57:17,24.9
2024-05-23 17:57:23,24.9
2024-05-23 17:57:29,24.9
2024-05-23 17:57:35,24.9
2024-05-23 17:57:41,24.9
2024-05-23 17:57:47,24.9
2024-05-23 17:57:52,24.9
2024-05-23 17:57:58,24.9
2024-05-23 17:58:04,24.9
2024-05-23 17:58:09,24.9
2024-05-23 17:58:15,24.9
2024-05-23 17:58:21,24.9
2024-05-23 17:58:26,24.9
2024-05-23 17:58:32,24.9
2024-05-23 17:58:38,24.9
2024-05-23 17:58:43,24.9
2024-05-23 17:58:49,24.9
2024-05-23 17:58:54,24.9
2024-05-23 17:59:00,24.9
2024-05-23 17:59:06,24.9
2024-05-23 17:59:11,24.9
2024-05-23 17:59:17,24.9
2024-05-23 17:59:22,24.9
2024-05-23 17:59:28,24.9
2024-05-23 17:59:34,24.9
2024-05-23 17:59:39,24.9
2024-05-23 17:59:45,24.9
2024-05-23 17:59:51,24.9
2024-05-23 17:59:57,24.9
2024-05-23 18:00:02,24.9
2024-05-23 18:00:08,24.9
2024-05-23 18:00:13,24.9
2024-05-23 18:00:19,24.8
2024-05-23 18:00:25,24.8
2024-05-23 18:00:30,24.8
2024-05-23 18:00:36,24.8
2024-05-23 18:00:42,24.8
2024-05-23 18:00:48,24.8
2024-05-23 18:00:53,24.8
2024-05-23 18:00:59,24.8
2024-05-23 18:01:04,24.8
2024-05-23 18:01:10,24.8
2024-05-23 18:01:16,24.8
2024-05-23 18:01:21,24.8
2024-05-23 18:01:27,24.8
2024-05-23 18:01:32,24.8
2024-05-23 18:01:38,24.8
2024-05-23 18:01:45,24.8
2024-05-23 18:01:50,24.8
